""	"feature"	"metadata"	"value"	"coef"	"stderr"	"pval"	"qval"	"base.model"	"tweedie.index"	"N"	"N.not.zero"	"percent.zero"
"33"	"Inpp5a"	"cat"	"Wound2"	-0.567709249839297	0.253621439704811	0.0255787893452606	0.405385055380948	"CPLM"	1.029	573	60	90
"34"	"Adarb2"	"cat"	"Wound2"	-0.493633137907943	0.22506259243238	0.0286871737392496	0.42866833901793	"CPLM"	1.035	573	74	87
"35"	"Zcchc24"	"cat"	"Wound2"	-0.508642484858957	0.230948606252049	0.0280355715560449	0.42866833901793	"CPLM"	1.019	573	69	88
"36"	"Mcc"	"cat"	"Wound2"	-0.391983790443567	0.183890217467773	0.0334645253665524	0.48616518796408	"CPLM"	1.032	573	101	82
"37"	"Arfgef1"	"cat"	"Wound2"	-0.468184551184049	0.222234539569643	0.0355780458665866	0.494861216843861	"CPLM"	1.031	573	77	87
"38"	"Gbf1"	"cat"	"Wound2"	-0.395885436059752	0.188301679778107	0.0359554995029956	0.494861216843861	"CPLM"	1.024	573	96	83
"39"	"Gm29536"	"cat"	"Wound2"	0.525882872810901	0.256772723846384	0.041012121993919	0.510698566733802	"CPLM"	1.033	573	75	87
"40"	"Cacna1a"	"cat"	"Wound2"	0.565743268152776	0.273085683293116	0.038744725762455	0.510698566733802	"CPLM"	1.039	573	69	88
"41"	"Gm48099"	"cat"	"Wound2"	0.353615700706924	0.172327619296056	0.0406254293449547	0.510698566733802	"CPLM"	1.024	573	138	76
"42"	"Trp63"	"cat"	"Wound2"	0.565330653888505	0.274131812903761	0.0396349469625506	0.510698566733802	"CPLM"	1.046	573	67	88
"43"	"1110051M20Rik"	"cat"	"Wound2"	-0.491942386865773	0.244426631799237	0.0446216686598429	0.535560292137555	"CPLM"	1.04	573	64	89
"44"	"Tenm3"	"cat"	"Wound2"	0.437982704783444	0.218060663615013	0.0450566976176911	0.535560292137555	"CPLM"	1.033	573	93	84
